Date,Village/Location,District,Families_Evicted,People_Evicted,Structures_Demolished,Deaths,Injuries,Government_Reason,Category,Court_Intervention,Source_URL,Longitude,Latitude,Geocoded_Name
2021-06-07,Dhalpur No. 1,Darrang,49.0,245,49.0,0.0,0.0,Clearing Dholpur Shiva Mandir land,Religious Land (Satra),,https://scroll.in/article/1015946/,91.900157,26.295471,"Darrang, Assam, India"
2021-09-20,Dhalpur No. 1 & 3,Darrang,800.0,4000,800.0,0.0,0.0,Garukhuti Agricultural Project,Development Projects,,https://scroll.in/article/1015946/,91.899315,26.290016,"Darrang, Assam, India"
2021-09-23,Dhalpur No. 3,Darrang,500.0,2500,500.0,2.0,20.0,Garukhuti Agricultural Project,Development Projects,Judicial probe ordered (Justice B.D. Agarwal),https://thewire.in/rights/assam-police-firing-darrang-eviction-drive,91.898473,26.286562,"Darrang, Assam, India"
2021-11-08,Lumding Reserve Forest,Hojai,1500.0,7500,1500.0,0.0,0.0,Forest encroachment clearance,Environmental Protection,,https://maktoobmedia.com/tag/eviction-drive/,92.951092,26.34687,"Lumding, Lanka, Assam, India"
2022-02-06,"Bardalani, Mandia",Barpeta,37.0,185,37.0,0.0,0.0,Barpeta Satra land clearance,Religious Land (Satra),,https://maktoobmedia.com/tag/eviction-drive/,90.95,26.3,"Barpeta, Assam, India"
2022-04-01,Purana Bazar,Hojai,60.0,300,60.0,1.0,0.0,Flyover construction,Development Projects,,https://maktoobmedia.com/tag/eviction-drive/,92.856389,26.404167,"Chaudhari Bāzār, Lanka, Assam, India"
2022-09-03,Chitalmari Char,Sonitpur,550.0,2750,550.0,0.0,0.0,Clearing illegal encroachment,Administrative Enforcement,,https://maktoobmedia.com/tag/eviction-drive/,92.629765,26.518793,"Sonitpur, Assam, India"
2022-12-19,Batadrava Mouza,Nagaon,1000.0,5000,1000.0,0.0,0.0,Satra land & government land clearance,Religious Land (Satra),,https://scroll.in/article/1086811/,93.05,26.666667,"Nagaon, Assam, India"
2022-12-26,Baghbar Satra Kanara,Barpeta,45.0,225,45.0,0.0,0.0,Satra land clearance,Religious Land (Satra),,https://maktoobmedia.com/tag/eviction-drive/,91.0,26.4,"Baghbor, Assam, India"
2023-02-14,Burachapori Wildlife Sanctuary,Sonitpur,2513.0,12565,2513.0,0.0,0.0,Wildlife sanctuary protection,Environmental Protection,,https://scroll.in/article/1086811/,92.2,26.5,"Sonitpur, Assam, India"
2023-02-15,Bhabanipur,Barpeta,100.0,500,100.0,0.0,0.0,Gopal Dev Aata Satra land,Religious Land (Satra),,https://maktoobmedia.com/tag/eviction-drive/,90.967778,26.318889,"Bhawanipur, Sarupeta (Pt), Assam, India"
2023-10-31,"Porua area, Tezpur",Sonitpur,11.0,55,11.0,0.0,,"Clearing encroachment on government land (66 families total, 55 relocated voluntarily)",Administrative Enforcement,,https://theprint.in/india/assam-houses-of-11-families-demolished-to-clear-encroachment-on-govt-land/1826203/,92.791219,26.63232,"Tezpur, Assam, India"
2023-11-15,Nalbari Reserve Forest,Goalpara,246.0,1230,246.0,0.0,,Anti-encroachment drive in reserve forest,Environmental Protection,,https://indianexpress.com/article/north-east-india/assam/246-families-evicted-in-anti-encroachment-drive-at-forest-in-goalpara-9017673/,90.225061,25.959071,"Goalpara, Assam, India"
2024-03-04,Hojai-Karbi Anglong border,Hojai,500.0,2500,500.0,0.0,0.0,Reserved forest clearance,Environmental Protection,,https://maktoobmedia.com/tag/eviction-drive/,93.0,26.0,"Hojai, Assam, India"
2024-05-20,Dhalpur Char,Darrang,400.0,2000,400.0,0.0,0.0,Garukhuti Project expansion,Development Projects,,https://twocircles.net/2024jun04/449829.html,91.899315,26.290016,"Darrang, Assam, India"
2024-06-24,"Silbhanga, Jagiroad",Morigaon,1500.0,7500,1500.0,0.0,0.0,Forest and railway land clearance,Environmental Protection,,https://maktoobmedia.com/tag/eviction-drive/,92.166667,26.166667,"Morigaon, Marigaon, Assam, India"
2024-09-09,"Kachutali, Sonapur",Kamrup Metropolitan,150.0,750,150.0,0.0,0.0,Tribal belt protection,Administrative Enforcement,,https://landconflictwatch.org/conflicts/violent-eviction-kachutali,91.983333,26.116667,"Sonapur, Assam, India"
2024-09-12,Kachutali,Kamrup Metropolitan,500.0,2500,500.0,2.0,33.0,Tribal belt protection,Administrative Enforcement,"SC status quo order (Sep 30, 2024)",https://landconflictwatch.org/conflicts/violent-eviction-kachutali,91.983333,26.116667,"Kamrup Metropolitan, Assam, India"
2024-09-24,Bandarmatha Reserve Forest,Goalpara,450.0,2250,450.0,0.0,0.0,Human-elephant conflict reduction,Environmental Protection,,https://maktoobmedia.com/tag/eviction-drive/,90.250332,26.005698,"Goalpara, Assam, India"
2024-10-15,No. 3 Dhalpur,Darrang,167.0,835,167.0,0.0,0.0,Garukhuti Project expansion,Development Projects,,https://assamtribune.com/assam/fresh-eviction-drive-in-darrang-1594482,91.898473,26.286562,"Darrang, Assam, India"
2024-12-13,Pancharatna,Goalpara,44.0,220,44.0,0.0,,Anti-encroachment drive,Administrative Enforcement,,https://www.landconflictwatch.org/conflicts/anti-encroachment-drive-in-assam-s-goalpara-renders-44-families-homeless,90.566353,26.195584,"Pancharatna, Balijana, Assam, India"
2025-04-04,Kachutali,Kamrup Metropolitan,30.0,150,30.0,0.0,0.0,Government land clearance,Administrative Enforcement,Pending SC order,https://maktoobmedia.com/tag/eviction-drive/,91.983333,26.116667,"Kamrup Metropolitan, Assam, India"
2025-06-01,Rengma Reserve Forest,Golaghat,2700.0,13500,2700.0,0.0,0.0,Forest conservation,Environmental Protection,"SC status quo order (Aug 22, 2025)",https://maktoobmedia.com/india/sc-halts-eviction-golaghat/,93.95,26.5,"Golaghat, Assam, India"
2025-06-16,Hasila Beel wetland,Goalpara,667.0,3335,667.0,0.0,0.0,Wetland conservation,Environmental Protection,SC seeks reply citing guideline violation,https://maktoobmedia.com/features/assam-houses-of-660-families/,90.604373,26.16732,"Goalpara, Assam, India"
2025-06-30,"Bakrikuchi, Mukalmua (Barkhetri Revenue Circle)",Nalbari,93.0,465,100.0,0.0,,"Clearing encroachment on government land (452 bighas, Dag No. 106). Largest eviction in Nalbari history. Included Eidgah, school, Anganwadi.",Administrative Enforcement,,https://www.krctimes.com/news/massive-eviction-drive-in-nalbaris-bakrikuchi-93-families-displaced-as-bulldozers-roll-in/,91.45,26.4,"Mukalmua, Barkhetri, Assam, India"
2025-07-08,"Chirakuta, Charuabakhra, Santoshpur",Dhubri,1400.0,7000,1400.0,0.0,3.0,Land clearance for Adani 3200 MW thermal plant,Development Projects,Gauhati HC contempt notice issued,https://scroll.in/latest/1084333/,90.0,26.0,"Dhubri, Assam, India"
2025-07-12,Paikan Reserve Forest,Goalpara,1080.0,5400,2700.0,1.0,15.0,"Forest conservation, elephant corridors",Environmental Protection,,https://scroll.in/latest/1084452/,90.652677,26.043984,"Goalpara, Assam, India"
2025-11-09,Dahikata Reserve Forest,Goalpara,580.0,2900,580.0,0.0,0.0,Elephant corridor restoration,Environmental Protection,,https://nenews.in/assam/eviction-drive-clears-over-1100-bighas/,90.716535,26.078519,"Goalpara, Assam, India"
2025-11-29,Lutimari Reserve Forest,Nagaon,1500.0,7500,2262.0,0.0,0.0,Reserved forest protection,Environmental Protection,,https://outlookindia.com/national/assam-evicts-over-1100-families-nagaon,92.7,26.4,"Nagaon, Assam, India"
2025-12-19,Nagaon (declared foreigners pushed via Sribhumi border),Nagaon,7.0,35,0.0,0.0,,"24-hour expulsion orders under Immigrants (Expulsion from Assam) Act, 1950 - forced pushback to Bangladesh",Administrative Enforcement,None - bypassed legal process,https://scroll.in/article/1089947/assams-nowhere-people-given-24-hours-to-leave-india-tossed-back-and-forth-across-bangladesh-order,92.68,26.35,"Nagaon, Assam, India"
2025-12-26,"Ambika village, Ersama (14 Bengali Muslims pushed via Gede border, West Bengal)",Jagatsinghpur (Odisha),1.0,5,0.0,0.0,,"BSF illegal pushback - family had valid Indian documents (Aadhaar, Voter ID). 14 people including 4 children (ages 2-12), elderly (90 yrs)",Administrative Enforcement,None - BGB confirmed pushback was illegal,https://maktoobmedia.com/india/bsf-illegally-pushed-14-bengali-speaking-muslims-from-odisha-into-bangladesh-families-allege/,86.52,20.08,"Assam, India"
2025-12-28,Nagaon (re-pushback via South Salmara-Dhubri border after re-entry),Nagaon,7.0,35,0.0,0.0,,"Third forced pushback - individuals caught re-entering India after Dec 19 pushback, pushed again to Bangladesh",Administrative Enforcement,,https://scroll.in/article/1089947/assams-nowhere-people-given-24-hours-to-leave-india-tossed-back-and-forth-across-bangladesh-order,92.68,26.35,"Nagaon, Assam, India"
2026-01-05,"Burhachapori Wildlife Sanctuary (Jamuktol, Arimari, Siyalichar, Baghetapu, Galatidubi, Lathimari, Kundulichar, Purba Dubramari, Batulichar)",Sonitpur,1200.0,6000,1200.0,0.0,,Clearing encroachments from wildlife sanctuary (650 hectares),Environmental Protection,,https://scroll.in/latest/1089853/assam-over-1200-bengali-muslim-homes-demolished-as-state-continues-eviction-drive,92.2,26.5,"Sonitpur, Assam, India"
